Start Date,End Date,Portfolio name,Currency,Campaign Name,Ad Group Name,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Click-Thru Rate (CTR),Cost Per Click (CPC),Spend,7 Day Total Sales ,Total Advertising Cost of Sales (ACOS) ,Total Return on Advertising Spend (ROAS),7 Day Total Orders (#),7 Day Total Units (#),7 Day Conversion Rate,7 Day Advertised SKU Units (#),7 Day Other SKU Units (#),7 Day Advertised SKU Sales ,7 Day Other SKU Sales 
"May 16, 2022","May 21, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,king cotton quilt blush,37,2,5.4054%,$0.27,$0.53,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 17, 2022","May 17, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,king coverlets/quilts,24,1,4.1667%,$0.53,$0.53,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 19, 2022","May 19, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,king quilt,30,1,3.3333%,$0.41,$0.41,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 18, 2022","May 18, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,king quilts green,9,1,11.1111%,$0.35,$0.35,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 22, 2022","May 22, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,king size denim quilt,3,1,33.3333%,$0.32,$0.32,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 21, 2022","May 21, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,king size green quilt,1,1,100.0000%,$0.31,$0.31,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 16, 2022","May 20, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,king size quilt,250,3,1.2000%,$0.37,$1.11,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 20, 2022","May 20, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,king size quilt forest green,1,1,100.0000%,$0.39,$0.39,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 17, 2022","May 17, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,king size solid box stitch quilt,5,1,20.0000%,$0.53,$0.53,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
"May 17, 2022","May 17, 2022",Quilt Set,USD,1702 TEIKA,Generic,king quilt,BROAD,king size summer quilts,2,1,50.0000%,$0.53,$0.53,0.00,0.00,0.00,0,0,0.0000%,0,0,$0.00,$0.00
